,time,ll,n_component,DB,method
0,7.126919984817505,-11.595296347428391,10.0,PBMC_1k,CITE-sort
1,7.169904470443726,-11.011866862133289,11.0,PBMC_1k,CITE-sort
2,6.501286268234253,-11.595296347428391,10.0,PBMC_1k,CITE-sort
3,6.519277572631836,-11.629320053052382,10.0,PBMC_1k,CITE-sort
4,6.452306270599365,-12.319758924800478,9.0,PBMC_1k,CITE-sort
5,6.9830121994018555,-11.73632943950538,10.0,PBMC_1k,CITE-sort
6,6.7821266651153564,-12.319758924800478,9.0,PBMC_1k,CITE-sort
7,6.54626202583313,-11.73632943950538,10.0,PBMC_1k,CITE-sort
8,6.8560850620269775,-11.73632943950538,10.0,PBMC_1k,CITE-sort
9,6.662195682525635,-12.319758924800478,9.0,PBMC_1k,CITE-sort
0,6.587217807769775,-17.140941651826182,4.0,PBMC_1k,GMM
1,5.890617609024048,-17.059280976259892,4.0,PBMC_1k,GMM
2,6.10949182510376,-17.106031776612685,4.0,PBMC_1k,GMM
3,5.937591314315796,-16.582158231213626,5.0,PBMC_1k,GMM
4,6.394338369369507,-17.140941651826182,4.0,PBMC_1k,GMM
5,6.005538702011108,-17.106031776612685,4.0,PBMC_1k,GMM
6,6.512260913848877,-15.174585542784197,7.0,PBMC_1k,GMM
7,6.381338357925415,-16.14805683403237,5.0,PBMC_1k,GMM
8,5.929594278335571,-16.163219553315656,5.0,PBMC_1k,GMM
9,6.02553915977478,-17.10511391549158,4.0,PBMC_1k,GMM
0,0.05996561050415039,-14.088582148687417,10.0,PBMC_1k,GMM_fixk
1,0.08894848823547363,-13.41499493553318,11.0,PBMC_1k,GMM_fixk
2,0.03797769546508789,-13.540707534411622,10.0,PBMC_1k,GMM_fixk
3,0.07995438575744629,-13.850122640730694,10.0,PBMC_1k,GMM_fixk
4,0.032981157302856445,-14.322336721328481,9.0,PBMC_1k,GMM_fixk
5,0.043974876403808594,-13.958332357223027,10.0,PBMC_1k,GMM_fixk
6,0.07495713233947754,-14.111789277986022,9.0,PBMC_1k,GMM_fixk
7,0.04097485542297363,-14.064216918680327,10.0,PBMC_1k,GMM_fixk
8,0.0439755916595459,-13.776412026253446,10.0,PBMC_1k,GMM_fixk
9,0.03797793388366699,-13.804259594360275,9.0,PBMC_1k,GMM_fixk
0,1.9418880939483643,-16.391776859648125,21.0,PBMC_1k,nGMM
1,1.7360057830810547,-17.017084083201127,17.0,PBMC_1k,nGMM
