,time,ll,bic,n_component,DB,method
0,1.2234070301055908,-11.122508339097205,18120.598500175132,15.0,PBMC_1k,CITE-sort
1,1.3422009944915771,-10.599447969967613,17979.10670447445,19.0,PBMC_1k,CITE-sort
2,1.3595807552337646,-10.580384296272932,17951.921905785835,19.0,PBMC_1k,CITE-sort
3,1.2019219398498535,-10.797541537800555,18110.490059534695,18.0,PBMC_1k,CITE-sort
4,1.0659277439117432,-11.520668331656603,18386.178504225776,13.0,PBMC_1k,CITE-sort
5,1.2330269813537598,-10.884964282200043,18084.056820378835,17.0,PBMC_1k,CITE-sort
6,1.0871169567108154,-11.210810373520744,18246.517201263097,15.0,PBMC_1k,CITE-sort
7,1.2957079410552979,-10.559284814490477,17921.83404476405,19.0,PBMC_1k,CITE-sort
8,1.344512939453125,-10.747012821200016,18038.43610966233,18.0,PBMC_1k,CITE-sort
9,1.3971610069274902,-10.908992508838459,18118.321071565217,17.0,PBMC_1k,CITE-sort
0,0.06934595108032227,-9.391548425467587,21070.52750958933,15.0,PBMC_1k,GMM
1,0.17578816413879395,-8.432751674316203,21753.759768630494,19.0,PBMC_1k,GMM
2,0.11098718643188477,-8.613242757652294,22009.233753526605,19.0,PBMC_1k,GMM
3,0.15456628799438477,-8.906608827994178,21917.34935044522,18.0,PBMC_1k,GMM
4,0.0856637954711914,-9.958450318552085,20854.826033934376,13.0,PBMC_1k,GMM
5,0.0980536937713623,-8.95775671436817,21477.677566627026,17.0,PBMC_1k,GMM
6,0.11914801597595215,-9.423531116544487,21117.317180993778,15.0,PBMC_1k,GMM
7,0.09374594688415527,-8.560323153610016,21935.238604155347,19.0,PBMC_1k,GMM
8,0.11969304084777832,-8.761752986297514,21710.63558117411,18.0,PBMC_1k,GMM
9,0.08350276947021484,-9.11605125005756,21703.562246918555,17.0,PBMC_1k,GMM
0,0.016718149185180664,-12.228966785816784,19697.072733446294,15.0,PBMC_1k,nGMM
1,0.025583267211914062,-11.594671772544062,19397.97519151494,19.0,PBMC_1k,nGMM
2,0.02981114387512207,-11.814677063212406,19711.51782998137,19.0,PBMC_1k,nGMM
3,0.01725292205810547,-11.925040189720319,19717.787536750096,18.0,PBMC_1k,nGMM
4,0.013669252395629883,-12.560536341854464,19869.01292539533,13.0,PBMC_1k,nGMM
5,0.020405054092407227,-11.955083622692364,19608.56844846602,17.0,PBMC_1k,nGMM
6,0.01281285285949707,-12.197622142865846,19653.335425410318,15.0,PBMC_1k,nGMM
7,0.018594741821289062,-11.828031980611136,19730.34262987801,19.0,PBMC_1k,nGMM
8,0.018755197525024414,-11.63414537780662,19303.315537517778,18.0,PBMC_1k,nGMM
9,0.015864133834838867,-11.989330130360914,19658.157454504828,17.0,PBMC_1k,nGMM
0,5.529792070388794,-16.91493898317407,191860.99980536764,43.0,PBMC_5k,CITE-sort
1,5.566227912902832,-17.187725669048742,193387.41905180132,39.0,PBMC_5k,CITE-sort
2,5.876396894454956,-16.992907777426087,193347.30644981583,45.0,PBMC_5k,CITE-sort
3,6.318313837051392,-17.05918118363452,195044.93275091852,48.0,PBMC_5k,CITE-sort
4,7.204071044921875,-16.39752962601377,189437.76554038146,52.0,PBMC_5k,CITE-sort
5,6.371899843215942,-17.298500969848494,195886.09929352903,43.0,PBMC_5k,CITE-sort
6,6.815957069396973,-17.43462256473374,197648.61036903856,44.0,PBMC_5k,CITE-sort
7,7.576941967010498,-16.649744678369668,190080.20394710155,46.0,PBMC_5k,CITE-sort
8,6.156139135360718,-17.383231381499122,195773.1070570394,40.0,PBMC_5k,CITE-sort
9,6.679594993591309,-16.79224664803924,192243.72173438163,48.0,PBMC_5k,CITE-sort
0,1.6649901866912842,-14.844552393295237,233104.98341420465,43.0,PBMC_5k,GMM
1,1.0674920082092285,-15.037024547766473,227931.69830776658,39.0,PBMC_5k,GMM
2,2.366248846054077,-14.82285979406439,236478.72132183344,45.0,PBMC_5k,GMM
3,2.8846938610076904,-14.559256840564421,239108.96140165094,48.0,PBMC_5k,GMM
4,3.003420829772949,-14.306739501113247,243649.47077560163,52.0,PBMC_5k,GMM
5,1.7910127639770508,-14.686577174542666,231450.33086139915,43.0,PBMC_5k,GMM
6,2.4024720191955566,-14.643450337378097,232796.6201212383,44.0,PBMC_5k,GMM
7,1.8464860916137695,-14.667242647587006,236641.7195371195,46.0,PBMC_5k,GMM
8,1.3643510341644287,-14.927212459043272,228577.29615223384,40.0,PBMC_5k,GMM
9,2.4785399436950684,-14.413919172519448,237584.03507317504,48.0,PBMC_5k,GMM
0,0.16876792907714844,-17.38843703779885,196822.3291029122,43.0,PBMC_5k,nGMM
1,0.29349207878112793,-17.51402190353099,196804.70850178157,39.0,PBMC_5k,nGMM
2,0.24037885665893555,-17.29008998736503,196456.40502038345,45.0,PBMC_5k,nGMM
3,0.2437589168548584,-17.10378499463751,195501.2237193164,48.0,PBMC_5k,nGMM
4,0.3140268325805664,-17.026432628183088,196034.51057826742,52.0,PBMC_5k,nGMM
5,0.23077607154846191,-17.311941894049042,196019.5000339507,43.0,PBMC_5k,nGMM
6,0.250927209854126,-17.258264687618446,195792.26132085206,44.0,PBMC_5k,nGMM
7,0.22651004791259766,-17.245524790302447,196324.12175886668,46.0,PBMC_5k,nGMM
8,0.23640108108520508,-17.408061851528625,196026.13892767506,40.0,PBMC_5k,nGMM
9,0.20556211471557617,-17.13414245065703,195825.1496236616,48.0,PBMC_5k,nGMM
0,5.518562078475952,-9.438671093443384,162813.61062683674,64.0,PBMC_8k,CITE-sort
1,5.238887786865234,-9.527185491367458,164205.94210618243,64.0,PBMC_8k,CITE-sort
2,5.150882005691528,-9.429811058963818,162898.4967298605,65.0,PBMC_8k,CITE-sort
3,4.848948001861572,-9.477606068105388,163426.05777827007,64.0,PBMC_8k,CITE-sort
4,5.218626976013184,-9.540687806052675,163521.31573463164,60.0,PBMC_8k,CITE-sort
5,4.935317039489746,-9.599496430758604,163997.86651048128,58.0,PBMC_8k,CITE-sort
6,4.948575973510742,-9.795641854357607,167083.2340236936,58.0,PBMC_8k,CITE-sort
7,5.144322633743286,-9.230961086041829,160219.0955465722,67.0,PBMC_8k,CITE-sort
8,4.917170763015747,-9.617264540039264,164725.86776024068,60.0,PBMC_8k,CITE-sort
9,4.8958821296691895,-9.601601862078336,165152.25717207725,63.0,PBMC_8k,CITE-sort
0,3.542236804962158,-8.505365806753996,186012.32876150298,64.0,PBMC_8k,GMM
1,3.0150198936462402,-8.510668219698958,186086.48126502425,64.0,PBMC_8k,GMM
2,2.065992832183838,-8.47587075076912,186352.87436215894,65.0,PBMC_8k,GMM
3,2.717287063598633,-8.49005107506052,185769.4078329935,64.0,PBMC_8k,GMM
4,2.4877541065216064,-8.563654062586876,183661.35173620144,60.0,PBMC_8k,GMM
5,2.2299141883850098,-8.586341323927163,182386.9540043941,58.0,PBMC_8k,GMM
