,time,ll,bic,n_component,DB,method
0,1.4083750247955322,-5.22614012126497,17694.297347349733,20.0,PBMC_1k,CITE-sort
1,1.1967318058013916,-6.834202666357369,17425.29678268992,15.0,PBMC_1k,CITE-sort
2,1.3504319190979004,-6.265277074706867,17638.847990580936,17.0,PBMC_1k,CITE-sort
3,1.2247920036315918,-6.375117306926319,17795.48016172587,17.0,PBMC_1k,CITE-sort
4,1.406689167022705,-5.927471739871177,18181.97668468987,19.0,PBMC_1k,CITE-sort
5,1.160640001296997,-6.933182248691533,18078.861217890753,16.0,PBMC_1k,CITE-sort
6,1.2971611022949219,-6.491712095554915,17449.324779517934,16.0,PBMC_1k,CITE-sort
7,1.2381787300109863,-6.1806809547366965,17518.21392350347,17.0,PBMC_1k,CITE-sort
8,1.3634178638458252,-5.54105350167419,18655.783378605596,21.0,PBMC_1k,CITE-sort
9,1.24202299118042,-6.577575012771381,18084.18485026093,17.0,PBMC_1k,CITE-sort
0,0.21073102951049805,-8.529966559712106,22401.603397840703,20.0,PBMC_1k,GMM
1,0.061823129653930664,-9.539507803253352,21282.40387053851,15.0,PBMC_1k,GMM
2,0.14079070091247559,-9.644085019856453,22456.349203700607,17.0,PBMC_1k,GMM
3,0.09861302375793457,-9.510790115912984,22266.383567939105,17.0,PBMC_1k,GMM
4,0.13012290000915527,-8.746533173662325,22201.70051304868,19.0,PBMC_1k,GMM
5,0.16895508766174316,-9.177449082611146,21278.880041425553,16.0,PBMC_1k,GMM
6,0.11718511581420898,-9.463803564231196,21687.477995720026,16.0,PBMC_1k,GMM
7,0.12487006187438965,-8.810452482167188,21267.711649445482,17.0,PBMC_1k,GMM
8,0.26333117485046387,-8.100522728490219,22304.106579471587,21.0,PBMC_1k,GMM
9,0.10646820068359375,-9.185367037079187,21802.197071284805,17.0,PBMC_1k,GMM
0,0.030717134475708008,-11.574240290860638,19519.393501782622,20.0,PBMC_1k,nGMM
1,0.01583719253540039,-12.582327588717853,20201.545868265435,15.0,PBMC_1k,nGMM
2,0.01724696159362793,-12.01715941481364,19697.837400564586,17.0,PBMC_1k,nGMM
3,0.016399860382080078,-11.892201843087133,19519.84070765181,17.0,PBMC_1k,nGMM
4,0.018496036529541016,-11.88263154626566,19808.43357921994,19.0,PBMC_1k,nGMM
5,0.026629209518432617,-12.150261839948268,19736.454511739288,16.0,PBMC_1k,nGMM
6,0.024701356887817383,-12.134395995184603,19714.265925310712,16.0,PBMC_1k,nGMM
7,0.024443864822387695,-12.038335544520606,19727.715846408726,17.0,PBMC_1k,nGMM
8,0.024069786071777344,-11.576145594733852,19673.081128548773,21.0,PBMC_1k,nGMM
9,0.016176223754882812,-12.223796587435212,19992.872123428424,17.0,PBMC_1k,nGMM
0,6.781627893447876,-9.998504538201088,193053.82826045481,49.0,PBMC_5k,CITE-sort
1,6.160115003585815,-10.774060071144454,193997.56214166566,45.0,PBMC_5k,CITE-sort
2,8.255143880844116,-9.385251516861697,204605.71575826133,59.0,PBMC_5k,CITE-sort
3,6.1250319480896,-10.476676137487793,194474.28808262106,47.0,PBMC_5k,CITE-sort
4,6.1504247188568115,-10.667226659512071,194675.1887903696,46.0,PBMC_5k,CITE-sort
5,6.686645030975342,-9.608489099356111,197954.68859708664,54.0,PBMC_5k,CITE-sort
6,5.918744087219238,-10.315595836758309,194582.64787714006,48.0,PBMC_5k,CITE-sort
7,6.57272481918335,-9.297901358731517,200091.59025809477,57.0,PBMC_5k,CITE-sort
8,5.612346887588501,-10.478001633603006,192689.46136847988,46.0,PBMC_5k,CITE-sort
9,5.69504714012146,-10.920122385864424,195530.340072337,45.0,PBMC_5k,CITE-sort
0,2.291753053665161,-14.358126790040503,238792.89874423892,49.0,PBMC_5k,GMM
1,1.8819971084594727,-14.70760453280036,235266.0466927468,45.0,PBMC_5k,GMM
2,2.5993258953094482,-13.897761531325635,251950.6764950317,59.0,PBMC_5k,GMM
3,1.9641737937927246,-14.583750765038003,237559.38821198785,47.0,PBMC_5k,GMM
4,2.1672379970550537,-14.491249214074706,234796.6223725828,46.0,PBMC_5k,GMM
5,2.1744298934936523,-14.408898960824732,248321.56104229172,54.0,PBMC_5k,GMM
6,2.274665117263794,-14.467449217102281,238141.43805275435,48.0,PBMC_5k,GMM
7,2.0596659183502197,-13.941547414973176,248814.61145642295,57.0,PBMC_5k,GMM
8,1.2713558673858643,-14.456796081254263,234435.5119427906,46.0,PBMC_5k,GMM
9,1.8523399829864502,-14.820257733959885,236453.24580368795,45.0,PBMC_5k,GMM
0,0.20482516288757324,-17.162898002294302,196458.95369860908,49.0,PBMC_5k,nGMM
1,0.24257564544677734,-17.27725679417593,196325.0151104464,45.0,PBMC_5k,nGMM
2,0.22489190101623535,-16.894444387997563,196981.7101214813,59.0,PBMC_5k,nGMM
3,0.1976771354675293,-17.187442559180443,196046.25667727954,47.0,PBMC_5k,nGMM
4,0.1876363754272461,-17.247541163012016,196345.5477243657,46.0,PBMC_5k,nGMM
5,0.21679210662841797,-16.97484842732038,196156.06355618988,54.0,PBMC_5k,nGMM
6,0.225081205368042,-17.15077295409227,195997.61407698583,48.0,PBMC_5k,nGMM
7,0.24540996551513672,-16.940910738001595,196801.1918648725,57.0,PBMC_5k,nGMM
8,0.21463489532470703,-17.229297792510877,196152.52786378318,46.0,PBMC_5k,nGMM
9,0.22436809539794922,-17.271073237309157,196258.65312791697,45.0,PBMC_5k,nGMM
0,4.7353222370147705,-6.442717330259638,156842.43374943547,68.0,PBMC_8k,CITE-sort
1,5.241987943649292,-6.441431807197678,157638.49865288063,69.0,PBMC_8k,CITE-sort
2,5.433183908462524,-6.343022901335477,156090.52656366822,69.0,PBMC_8k,CITE-sort
3,5.4518561363220215,-6.594241419217372,155960.76294390138,64.0,PBMC_8k,CITE-sort
